,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ervid
3222,2094.602074,0.07658747,0.147459806,0.519378615,0.603496741,0.789480014,3222
3224,9.181169863,-0.64979451,0.473147705,-1.37334389,0.169645464,NA,3224
3226,505.209049,0.080743157,0.185278792,0.435792767,0.662987092,0.829914789,3226
3231,3.790455527,0.287948956,0.453888765,0.634404239,0.525817044,NA,3231
3232,389.3134212,-0.181056522,0.235746503,-0.768013607,0.442479101,0.666925021,3232
3233,28.21724985,0.186667995,0.308184338,0.605702406,0.544712386,NA,3233
3234,9.81866391,0.077999752,0.360451926,0.216394326,0.828680388,NA,3234
3236,23.16451654,0.067387053,0.270631947,0.248998885,0.803361644,NA,3236
3238,23.20873191,-0.722934431,0.354830952,-2.037405215,0.041609452,NA,3238
3241,6.951937943,-0.044487931,0.35246563,-0.126219202,0.899558412,NA,3241
3244,4.038485703,0.17719769,0.366803836,0.483085705,0.629034884,NA,3244
3245,369.1266491,0.195735482,0.117020377,1.672661524,0.094393948,0.276534382,3245
3247,64.76639801,-0.061076751,0.185105589,-0.329956276,0.741433,NA,3247
3250,202.1917554,0.304748427,0.177276594,1.719056194,0.08560414,0.273933249,3250
3253,7.032211479,-1.079672763,0.487134203,-2.216376425,0.026665733,NA,3253
3254,5.325989088,-0.525936325,0.427540108,-1.230144996,0.218642813,NA,3254
3255,1.22868638,-0.289157747,0.80885166,-0.35749169,0.720723746,NA,3255
3256,9.540174282,-0.112076901,0.265431165,-0.422244693,0.672846423,NA,3256
3257,73.86532118,-0.309220514,0.246207702,-1.255933552,0.209140063,NA,3257
3258,163.9743277,-0.069632743,0.193457089,-0.359938959,0.718892782,0.874442682,3258
3261,1.724613666,-0.390242019,0.876507324,-0.445223911,0.656157949,NA,3261
3263,6.66597491,0.0001631,0.443511122,0.000367747,0.99970658,NA,3263
3269,14.35487673,0.49305157,0.476910232,1.033845652,0.301208326,NA,3269
3274,6.760608711,0.079464904,0.342074596,0.23230285,0.816302799,NA,3274
3275,10.28298904,0.175008232,0.383283446,0.456602638,0.647956683,NA,3275
3276,178.3058242,-0.678030181,0.192355645,-3.52487799,0.000423678,0.045618849,3276
3279,8.718095513,0.122559961,0.415216506,0.295171215,0.76786309,NA,3279
W-118,5.273395438,-0.301963594,0.343466011,-0.879165869,0.379311348,NA,W-118
3283,45.90899045,-0.585139045,0.417029987,-1.403110238,0.160583969,NA,3283
3284,1.586262938,-0.440438443,0.799556536,-0.550853409,0.581734168,NA,3284
3286,43.60615946,-0.241258161,0.270328593,-0.892462607,0.372145027,NA,3286
3288,864.0576794,-0.001124876,0.220872144,-0.005092884,0.995936484,0.995936484,3288
3289,8.560711972,0.135426752,0.328241621,0.41258251,0.679912517,NA,3289
3291,13.26122212,0.294386178,0.234492635,1.255417591,0.209327207,NA,3291
3290,13.31421589,0.304243661,0.239597009,1.269814104,0.204150855,NA,3290
3292,19.31627624,0.391301021,0.251840629,1.553764469,0.120240609,NA,3292
3294,19.60080081,-0.266787846,0.17827128,-1.496527346,0.134516287,NA,3294
3297,8.828742788,0.407782244,0.278196449,1.465806789,0.142700931,NA,3297
3300,99.1158355,-0.573131579,0.256842296,-2.231453263,0.02565112,NA,3300
3301,33.82902999,-0.409173026,0.193950651,-2.109675964,0.034886276,NA,3301
3302,5.17897389,-0.200448754,0.443764763,-0.451700475,0.651484776,NA,3302
3305,20.00873309,-0.687140375,0.273291227,-2.514315524,0.011926368,NA,3305
3306,2.296025179,-0.821863889,0.565322225,-1.453797236,0.14600253,NA,3306
3307,14.74689449,0.305159549,0.427664606,0.713548758,0.475506253,NA,3307
3308,12.02291905,-0.027830929,0.36888017,-0.075447073,0.939859007,NA,3308
W-49,22.11277571,0.085569402,0.230500247,0.371233449,0.710463661,NA,W-49
3313,3.361243123,-0.256463949,0.462439576,-0.554589101,0.579175745,NA,3313
3314,1820.823661,0.079983077,0.103928931,0.769593956,0.441540792,0.666925021,3314
3315,24.96008433,-0.269911571,0.220632986,-1.223350942,0.221197174,NA,3315
3316,1468.660572,-0.741925521,0.34025135,-2.180521904,0.029218797,0.164257021,3316
3317,988.8981154,0.289529277,0.210182361,1.377514626,0.168353196,0.368604892,3317
3318,69.51109942,0.07528112,0.277839808,0.270951528,0.786428313,NA,3318
3319,109.0240906,0.455705696,0.302891474,1.50451807,0.132448024,0.323005947,3319
